country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AE,United Arab Emirates,Abu Dhabi,,15-Feb-20,1,6,-2,-1,2,1
AE,United Arab Emirates,Abu Dhabi,,16-Feb-20,-2,5,2,-2,2,1
AE,United Arab Emirates,Abu Dhabi,,17-Feb-20,-3,2,4,-3,2,1
AE,United Arab Emirates,Abu Dhabi,,18-Feb-20,-3,2,1,-2,2,1
AE,United Arab Emirates,Abu Dhabi,,19-Feb-20,-3,1,0,-1,2,1
AE,United Arab Emirates,Abu Dhabi,,20-Feb-20,-2,2,3,-3,1,1
AE,United Arab Emirates,Abu Dhabi,,21-Feb-20,0,5,8,-5,-1,1
AE,United Arab Emirates,Abu Dhabi,,22-Feb-20,-1,4,2,-2,3,1
AE,United Arab Emirates,Abu Dhabi,,23-Feb-20,-2,4,2,-3,3,1
AE,United Arab Emirates,Abu Dhabi,,24-Feb-20,-3,2,6,-5,3,1
AE,United Arab Emirates,Abu Dhabi,,25-Feb-20,-3,2,2,-3,2,1
AE,United Arab Emirates,Abu Dhabi,,26-Feb-20,-3,2,-5,-3,2,1
AE,United Arab Emirates,Abu Dhabi,,27-Feb-20,2,7,-2,-4,2,1
AE,United Arab Emirates,Abu Dhabi,,28-Feb-20,2,9,-3,-2,1,1
AE,United Arab Emirates,Abu Dhabi,,29-Feb-20,3,10,-3,1,4,0
AE,United Arab Emirates,Abu Dhabi,,1-Mar-20,2,12,2,-2,3,1
AE,United Arab Emirates,Abu Dhabi,,2-Mar-20,1,10,2,-4,3,1
AE,United Arab Emirates,Abu Dhabi,,3-Mar-20,0,7,-1,-5,3,1
AE,United Arab Emirates,Abu Dhabi,,4-Mar-20,-1,9,-5,-5,3,2
AE,United Arab Emirates,Abu Dhabi,,5-Mar-20,-2,8,-5,-8,2,3
AE,United Arab Emirates,Abu Dhabi,,6-Mar-20,-5,8,-9,-15,1,3
AE,United Arab Emirates,Abu Dhabi,,7-Mar-20,-2,8,-2,-10,4,2
AE,United Arab Emirates,Abu Dhabi,,8-Mar-20,-1,9,5,-13,-2,3
AE,United Arab Emirates,Abu Dhabi,,9-Mar-20,-3,7,4,-14,-3,4
AE,United Arab Emirates,Abu Dhabi,,10-Mar-20,-3,7,2,-15,-4,4
AE,United Arab Emirates,Abu Dhabi,,11-Mar-20,-4,7,0,-12,-4,4
AE,United Arab Emirates,Abu Dhabi,,12-Mar-20,-8,7,-7,-18,-5,5
AE,United Arab Emirates,Abu Dhabi,,13-Mar-20,-13,7,-16,-24,-1,5
AE,United Arab Emirates,Abu Dhabi,,14-Mar-20,-10,5,-12,-20,2,4
